# W12 probe run @ 2026-05-05T00:24:14.659Z
✓ functional/replica-policy-classification.mjs (24ms, exit=0)
✓ functional/eventual-consistency-window-ms.mjs (24ms, exit=0)
✓ functional/replicas-suspension-counter.mjs (25ms, exit=0)
✓ functional/smart-placement-config-shape.mjs (29ms, exit=0)
✓ functional/replica-state-shape.mjs (23ms, exit=0)
✓ functional/should-delegate-decision.mjs (23ms, exit=0)
✓ functional/replica-metadata-flag-in-diag.mjs (31ms, exit=0)
✓ functional/ws-routes-are-primary-only.mjs (25ms, exit=0)
✓ regression/install-pipeline-coverage.mjs (31ms, exit=0)
✓ regression/mossaic-shape.mjs (33ms, exit=0)
✓ regression/w11-frameworks-detect-unchanged.mjs (31ms, exit=0)
✓ regression/w10-bindings-still-injected.mjs (34ms, exit=0)
✓ regression/w7-stream-rpc-still-present.mjs (29ms, exit=0)
✓ regression/w9-hib-config-still-present.mjs (28ms, exit=0)
✓ regression/w5-diag-memory-shape.mjs (34ms, exit=0)
✓ regression/wrangler-jsonc-still-valid.mjs (37ms, exit=0)
✓ e2e/delegate-roundtrip.mjs (30ms, exit=0)
✓ e2e/replica-bookmark-roundtrip.mjs (130ms, exit=0)
✓ e2e/region-latency-baseline.mjs (32ms, exit=0)
✓ e2e/region-latency-after.mjs (32ms, exit=0)
✓ e2e/mossaic-regression-e2e.mjs (24ms, exit=0)
# all green
