# W12 probe run @ 2026-05-05T00:18:52.510Z
✗ functional/replica-policy-classification.mjs (22ms, exit=1)
✗ functional/eventual-consistency-window-ms.mjs (21ms, exit=1)
✗ functional/replicas-suspension-counter.mjs (23ms, exit=1)
✗ functional/smart-placement-config-shape.mjs (31ms, exit=1)
✗ functional/replica-state-shape.mjs (23ms, exit=1)
✗ functional/should-delegate-decision.mjs (20ms, exit=1)
✗ functional/replica-metadata-flag-in-diag.mjs (34ms, exit=1)
✗ functional/ws-routes-are-primary-only.mjs (22ms, exit=1)
✓ regression/install-pipeline-coverage.mjs (31ms, exit=0)
✓ regression/mossaic-shape.mjs (32ms, exit=0)
✓ regression/w11-frameworks-detect-unchanged.mjs (42ms, exit=0)
✓ regression/w10-bindings-still-injected.mjs (34ms, exit=0)
✓ regression/w7-stream-rpc-still-present.mjs (33ms, exit=0)
✓ regression/w9-hib-config-still-present.mjs (34ms, exit=0)
✓ regression/w5-diag-memory-shape.mjs (34ms, exit=0)
✓ regression/wrangler-jsonc-still-valid.mjs (32ms, exit=0)
✗ e2e/delegate-roundtrip.mjs (19ms, exit=1)
✗ e2e/replica-bookmark-roundtrip.mjs (23ms, exit=1)
✓ e2e/region-latency-baseline.mjs (41ms, exit=0)
✓ e2e/region-latency-after.mjs (40ms, exit=0)
✓ e2e/mossaic-regression-e2e.mjs (39ms, exit=0)
# not all green
